 1,  23.4, brahe,  östanpå,            resultat
 2,  30.4, falken, lappfors,           resultat
 3,  7.5,  brahe,  fäboda,             resultat
 4,  14.5, falken, hummelgjut,         resultat
 5,  21.5, minken, socklot,            resultat
 6,  28.5, brahe,  bredskär,           resultat
 7,  4.6,  falken, humla,              resultat
 8,  11.6, brahe,  fränsviken,         resultat
 9,  18.6, minken, nykarleby,          resultat
 10, 25.6, brahe,  larsmo,             resultat
 11, 2.7,  falken, forsby,             resultat
 12, 9.7,  brahe,  lussilundsvägen,    resultat
 13, 16.7, falken, esse,               resultat
 14, 23.7, brahe,  gamla hamn,         resultat
 15, 30.7, minken, skogsparkens skola, resultat
 16, 6.8,  brahe,  eugmo,              resultat
 17, 13.8, piehi,  ruusulehto,         resultat
 18, b,    minken, nyko,               resultat
 19, 27.8, falken, arbetsplatsberget,  resultat
 20, 3.9,  brahe,  degernäs,           resultat
 21, 10.9, falken, bennäs,             resultat
 22, 17.9, brahe,  pörkenäs,           resultat
 23, 24.9, minken, munsala,            resultat

